Plataforma,Año_de_Lanzamiento,Género,Editor,Ventas_NA,Ventas_EU,Ventas_JP,Otras_Ventas,Ventas_Globales,Puntuación_Crítica,Número_Críticas,Puntuación_Usuarios,Número_Usuarios,Desarrolladora,Clasificación_ESRB
XB,2005,Shooter,Ubisoft,0.29,0.08,0.0,0.01,0.39,84.0,40.0,7.2,35,Red Storm Entertainment,T (13 años)
PS4,2014,Misc,Ubisoft,0.19,0.13,0.0,0.07,0.39,72.0,8.0,5.8,32,Ubisoft,E10+ (10 años)
3DS,2011,Action,Tecmo Koei,0.12,0.05,0.2,0.01,0.39,61.0,30.0,7.7,35,Omega Force,T (13 años)
3DS,2013,Action,Namco Bandai Games,0.05,0.04,0.28,0.01,0.39,75.0,5.0,7.6,26,Ganbarion,T (13 años)
X360,2010,Sports,Electronic Arts,0.18,0.16,0.0,0.04,0.39,68.0,21.0,5.4,9,EA Canada,E (6 años)
PS3,2008,Racing,Capcom,0.07,0.24,0.0,0.08,0.39,65.0,21.0,6.0,9,Milestone S.r.l,E (6 años)
X360,2011,Shooter,THQ,0.18,0.16,0.01,0.04,0.39,71.0,74.0,7.0,77,Volition Inc.,M (17 años)
GBA,2003,Sports,Electronic Arts,0.28,0.1,0.0,0.01,0.39,53.0,6.0,8.3,9,Magic Pockets,E (6 años)
PS3,2011,Role-Playing,Square Enix,0.17,0.13,0.03,0.05,0.39,71.0,52.0,6.3,86,Obsidian Entertainment,T (13 años)
PS2,2003,Role-Playing,Ghostlight,0.07,0.05,0.25,0.02,0.38,82.0,42.0,8.7,83,Atlus Co.,M (17 años)
X360,2013,Simulation,Focus Home Interactive,0.22,0.13,0.0,0.04,0.38,33.0,12.0,6.2,30,Giants Software,E (6 años)
XB,2004,Sports,Sega,0.29,0.08,0.0,0.01,0.38,86.0,18.0,8.3,11,Visual Concepts,E (6 años)
PS2,2007,Action,Warner Bros. Interactive Entertainment,0.19,0.15,0.0,0.05,0.38,38.0,10.0,3.9,7,Red Tribe,E10+ (10 años)
PS3,2006,Role-Playing,Activision,0.33,0.02,0.0,0.03,0.38,78.0,35.0,7.6,49,Raven Software,T (13 años)
3DS,2011,Role-Playing,Ghostlight,0.28,0.01,0.06,0.03,0.38,78.0,27.0,8.2,97,Atlus,T (13 años)
PS2,2001,Sports,Sony Computer Entertainment,0.19,0.15,0.0,0.05,0.38,51.0,18.0,4.6,5,Red Zone Entertainment,E (6 años)
Wii,2008,Fighting,Tomy Corporation,0.34,0.02,0.0,0.03,0.38,72.0,20.0,8.4,16,Eighting,T (13 años)
GC,2002,Shooter,Acclaim Entertainment,0.3,0.08,0.0,0.01,0.38,70.0,19.0,7.0,21,Acclaim,M (17 años)
PS3,2007,Sports,Electronic Arts,0.35,0.0,0.0,0.03,0.38,77.0,13.0,7.9,28,EA Sports,E (6 años)
PS2,2008,Sports,Sega,0.1,0.0,0.0,0.28,0.38,70.0,9.0,8.3,4,Sumo Digital,E10+ (10 años)
PS2,2002,Action,Sega,0.19,0.15,0.0,0.05,0.38,74.0,24.0,7.8,19,Amuze,M (17 años)
PS3,2008,Action,Sega,0.14,0.17,0.0,0.07,0.38,65.0,38.0,7.4,32,Creative Assembly,M (17 años)
PS4,2015,Misc,Harmonix Music Systems,0.26,0.05,0.0,0.07,0.38,78.0,51.0,6.3,87,Harmonix Music Systems,T (13 años)
GC,2005,Fighting,Electronic Arts,0.3,0.08,0.0,0.01,0.38,54.0,19.0,5.7,24,"EA Canada, Nihilistic",T (13 años)
Wii,2007,Sports,505 Games,0.35,0.01,0.0,0.03,0.38,52.0,11.0,5.4,23,Point of View,E (6 años)
PS2,2005,Misc,THQ,0.19,0.15,0.0,0.05,0.38,60.0,7.0,5.1,7,Blitz Games,E (6 años)
PS2,2004,Racing,Empire Interactive,0.19,0.15,0.0,0.05,0.38,70.0,30.0,8.5,16,Bugbear,T (13 años)
PC,2016,Shooter,Electronic Arts,0.11,0.24,0.0,0.03,0.38,88.0,54.0,7.6,1137,EA DICE,M (17 años)
GC,2003,Sports,Electronic Arts,0.29,0.08,0.0,0.01,0.38,92.0,27.0,8.7,45,EA Canada,E (6 años)
3DS,2012,Action,Konami Digital Entertainment,0.15,0.11,0.1,0.02,0.38,78.0,46.0,7.8,167,Kojima Productions,M (17 años)
PSP,2006,Platform,Sony Computer Entertainment,0.14,0.04,0.16,0.03,0.38,83.0,67.0,8.7,89,SCE Japan Studio,E (6 años)
PS2,2003,Strategy,Atari,0.19,0.15,0.0,0.05,0.38,60.0,9.0,8.8,25,Cyberlore Studios,T (13 años)
PS4,2016,Role-Playing,Square Enix,0.11,0.21,0.0,0.06,0.38,84.0,59.0,7.6,511,Eidos Montreal,M (17 años)
PS2,2002,Role-Playing,Enix Corporation,0.07,0.05,0.25,0.02,0.38,68.0,16.0,6.5,15,Game Arts,T (13 años)
PS2,2008,Action,Sega,0.32,0.01,0.0,0.05,0.38,50.0,4.0,6.0,5,Edge of Reality,T (13 años)
PS2,2008,Shooter,Electronic Arts,0.21,0.0,0.0,0.17,0.38,49.0,10.0,7.4,31,Artificial Mind and Movement,T (13 años)
PC,2011,Action,THQ,0.16,0.16,0.0,0.06,0.38,84.0,22.0,8.1,1263,Volition Inc.,M (17 años)
DS,2010,Adventure,Capcom,0.17,0.07,0.12,0.02,0.38,83.0,60.0,9.0,127,Capcom,T (13 años)
XB,2002,Action,Interplay,0.28,0.08,0.0,0.01,0.38,79.0,28.0,8.9,20,High Voltage Software,M (17 años)
PS2,2007,Racing,THQ,0.32,0.01,0.0,0.05,0.38,53.0,13.0,8.2,5,Rainbow Studios,E (6 años)
PC,2009,Simulation,Ubisoft,0.0,0.32,0.0,0.06,0.38,82.0,32.0,8.8,132,"Blue Byte, Related Designs",T (13 años)
